716,842,294,546,436,352,441,899,10.66000000,17.47000000,2015-08-25 17:00:00,908,239,586,824,729,960,267,247,915,585,415,14,11,14,850,371,746,2,692,102,213,671,272,2015-08-25 17:00:00,183,226,430,196,542,6.790000,207,110,15.05000000,17.510000,2
904,14,189,241,467,160,857,100,4.21000000,10.99000000,2015-08-28 00:00:00,90,694,411,822,241,925,838,228,819,996,884,4,19,1,275,356,220,19,373,652,11,390,500,2015-7-23 00:00:00,86,248,366,262,990,13.160000,107,894,6.22000000,6.860000,2
102,352,454,410,286,213,780,504,13.08000000,14.95000000,2015-5-16 00:00:00,905,674,845,138,314,552,113,129,855,388,461,18,6,16,652,649,280,16,926,898,571,945,195,2015-2-21 00:00:00,842,709,533,579,414,13.230000,537,551,18.43000000,19.020000,1
756,94,37,694,361,74,71,683,2.97000000,4.87000000,2015-1-14 00:00:00,965,758,224,574,868,247,730,403,49,638,979,12,15,20,728,850,419,10,512,839,915,70,76,2015-2-2 00:00:00,615,957,456,325,988,13.160000,428,632,12.86000000,7.820000,7
271,579,508,257,777,183,27,262,14.62000000,14.62000000,2015-6-18 00:00:00,378,656,947,799,266,572,699,106,25,705,563,7,3,8,91,992,415,17,821,795,889,696,823,2015-5-3 00:00:00,434,117,353,28,474,6.760000,143,827,19.69000000,13.520000,1
505,133,917,648,456,634,849,753,3.51000000,2.25000000,2015-3-27 00:00:00,313,467,84,762,805,101,538,256,690,755,188,10,18,2,87,243,841,10,267,357,788,60,486,2015-2-7 00:00:00,481,31,951,17,243,19.860000,656,310,16.31000000,16.090000,3
158,879,507,886,329,267,513,668,9.54000000,2.65000000,2015-6-24 00:00:00,123,84,368,147,841,532,323,830,852,200,705,3,14,5,798,99,549,7,559,866,800,818,222,2015-8-10 00:00:00,542,189,863,294,963,16.220000,612,59,2.28000000,8.180000,6
652,878,328,385,856,144,613,178,4.03000000,7.88000000,2015-2-6 00:00:00,896,65,134,872,837,16,183,107,847,870,854,3,20,9,839,281,29,5,95,881,873,361,243,2015-1-28 00:00:00,379,643,999,544,307,1.360000,48,659,12.97000000,9.670000,8
346,535,863,805,125,362,366,761,13.01000000,18.85000000,2015-3-27 00:00:00,943,307,37,760,393,343,211,478,29,462,549,13,4,1,469,514,326,3,584,108,57,580,410,2015-1-19 00:00:00,549,742,13,575,135,10.820000,707,845,2.71000000,8.540000,3
670,319,882,964,747,778,358,194,15.17000000,2.21000000,2015-6-20 00:00:00,614,403,576,946,749,459,757,72,958,566,586,6,4,17,296,905,838,10,750,972,733,339,665,2015-7-2 00:00:00,54,176,158,775,367,17.370000,311,652,17.31000000,19.460000,5
