380,678,378,248,39,7.450,4,851,490,349,608,67,560,5,2015-6-9 00:00:00,768,40
775,829,223,198,279,6.270,19,89,438,895,512,66,726,8,2015-5-22 00:00:00,767,829
12,855,339,209,516,10.060,10,47,13,722,881,35,539,1,2015-6-17 00:00:00,827,677
19,218,694,313,977,8.330,9,251,887,349,690,33,277,8,2015-2-10 00:00:00,208,787
986,708,920,67,461,2.590,2,121,453,857,721,69,645,7,2015-3-10 00:00:00,996,487
95,307,44,114,88,10.010,4,390,220,413,179,14,913,5,2015-1-11 00:00:00,973,989
929,60,293,592,688,17.060,4,248,785,854,169,17,522,8,2015-3-29 00:00:00,350,339
890,908,70,970,801,4.180,16,319,932,391,734,22,127,5,2015-1-28 00:00:00,434,512
883,623,852,309,407,2.420,1,332,678,845,178,60,191,4,2015-3-15 00:00:00,149,654
606,244,65,794,55,10.260,6,95,116,223,447,86,993,6,2015-5-24 00:00:00,808,390
784,81,433,307,664,12.830,2,17,861,433,386,69,744,3,2015-5-7 00:00:00,938,240
211,109,356,796,661,5.070,10,353,593,919,895,55,862,2,2015-6-8 00:00:00,766,179
823,580,832,645,347,15.760,2,61,209,339,561,54,219,8,2015-1-23 00:00:00,704,71
153,913,711,233,967,2.560,15,686,764,996,596,30,842,9,2015-2-9 00:00:00,503,718
142,846,54,222,684,17.280,18,624,710,136,992,59,685,9,2015-2-1 00:00:00,881,812
341,889,49,385,940,11.340,11,365,249,679,804,40,661,7,2015-1-14 00:00:00,571,605
961,442,931,966,489,7.980,5,292,298,344,683,45,264,4,2015-5-4 00:00:00,737,599
613,897,563,722,811,6.680,4,553,327,993,717,52,570,3,2015-1-14 00:00:00,882,631
99,64,857,750,188,7.230,19,68,261,720,78,24,20,5,2015-6-16 00:00:00,354,778
490,861,301,814,102,13.590,10,27,399,458,454,23,491,3,2015-8-1 00:00:00,734,257
265,535,447,836,79,3.210,4,869,109,729,635,46,303,8,2015-7-17 00:00:00,912,877
343,870,762,653,150,5.550,8,802,945,309,423,90,559,3,2015-1-8 00:00:00,676,855
433,308,214,781,583,1.830,18,515,624,452,296,76,345,1,2015-6-14 00:00:00,226,651
