"   ","OWNER_NUM","BILL_NUM","PACK_NUM","UNIT_WEIGHT","CONTRACT_ITEM_NUM","RESOURCE_NUM","GRADE_NUM","DEPT_ID","INSERT_TIME","DEPTID","EXTSYSID","EXTSYSSTACKID","OPTFLAG","EBS_BILL_BATCH_ID","CONSIGNEE_TELE","WPROVIDER_ID","BILL_DATE","OUT_SETTLE_TYPE","HOSING_PRICE","PLAN_COUNT","CUSTOM_NUM","ITEM_NUM","WPROVIDER_NAME","CONSIGNEE_NAME","SPEC5","SEG_NO"
"1","GM0","TDGM130625660","83817700401","27.660000","TI15130501051","I3E0010524","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625660","","PWL0CC","2013/6/7 12:54:31","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"2","GM0","TDGM130625661","83833700100","23.180000","TI15130501051","I3E0010524","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625661","","PWL0CC","2013/6/7 12:54:31","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"3","GM0","TDGM130625662","83833700200","23.120000","TI15130501051","I3E0010524","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625662","","PWL0CC","2013/6/7 12:54:32","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"4","GM0","TDGM130625663","83817700200","28.770000","TI15130501051","I3E0010524","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625663","","PWL0CC","2013/6/7 12:54:32","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"5","GM0","TDGM130625664","82912010600","18.740000","TI15130501052","I3E0010525","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625664","","PWL0CC","2013/6/7 12:55:24","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"6","GM0","TDGM130625665","82922080300","18.650000","TI15130501052","I3E0010525","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625665","","PWL0CC","2013/6/7 12:55:24","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"7","GM0","TDGM130625666","82912011000","18.920000","TI15130501052","I3E0010525","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625666","","PWL0CC","2013/6/7 12:55:24","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"8","GM0","TDGM130625667","82912011500","17.870000","TI15130501052","I3E0010525","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625667","","PWL0CC","2013/6/7 12:55:24","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"9","GM0","TDGM130625668","82912012000","18.660000","TI15130501052","I3E0010525","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625668","","PWL0CC","2013/6/7 12:55:24","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
"10","GM0","TDGM130625669","82912011400","18.880000","TI15130501052","I3E0010525","","01","2013/6/7 13:02:04","0101","GM0","PWL0CC","0","TDGM130625669","","PWL0CC","2013/6/7 12:55:24","无费用","15.000","0.000000","T20069","期货","上海宝钢运输有限公司","上海仁远实业有限公司","卷","00100"
