"   ","SEG_NO","OWNER_NUM","BILL_NUM","BILL_DATE","CUSTOM_NUM","CUSTOMER_ID","STOCK","ITEM_NUM","BILLSTATE","FETCH_PERSON","FETCH_PERSON_ID_CARD","DEPT_ID","DOWNLOADFLAG","DEPTID","RESOURCE_NUM","CONTRACT_ITEM_NUM","FILIALE_CODE","EXTSYSID","EXTSYSSTACKID","PLAN_COUNT","ACT_COUNT","VALID_START_DATE","VALID_END_DATE","SPECIAL_REQUEST","CONSIGNEE_NAME","CONSIGNEE_ADDR","CONSIGNEE_RESPNDER","CONSIGNEE_TELE","INSERT_TIME","OPTFLAG","EBS_BILL_BATCH_ID","OUT_SETTLE_TYPE","HOSING_PRICE","PROVIDER_BILL_NUM","OWNERID","BILL_TYPE","PROVIDER_NAME","CONTRACT_TRANSFER_FLAG","CUSTOMER_NAME","CARID","DIRVER","IDCODE","MEMO","WPROVIDER_ADDR","DELIVERY_TYPE","HOISTING_COST"
"1","00100","GM0","TDGM130625660","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010524","TI15130501051","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:54:31","0","TDGM130625660","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"2","00100","GM0","TDGM130625661","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010524","TI15130501051","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:54:31","0","TDGM130625661","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"3","00100","GM0","TDGM130625662","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010524","TI15130501051","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:54:32","0","TDGM130625662","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"4","00100","GM0","TDGM130625663","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010524","TI15130501051","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:54:32","0","TDGM130625663","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"5","00100","GM0","TDGM130625664","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625664","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"6","00100","GM0","TDGM130625665","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625665","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"7","00100","GM0","TDGM130625666","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625666","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"8","00100","GM0","TDGM130625667","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625667","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"9","00100","GM0","TDGM130625668","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625668","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"10","00100","GM0","TDGM130625669","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625669","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"11","00100","GM0","TDGM130625670","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625670","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"12","00100","GM0","TDGM130625671","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625671","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"13","00100","GM0","TDGM130625672","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625672","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
"14","00100","GM0","TDGM130625673","2013/6/7","T20069||上海仁远实业有限公司","T20069","PWL0CC","期货","30","","","01","","0101","I3E0010525","TI15130501052","GM0","GM0","PWL0CC","0","0","2013/6/7","2013/6/7","","上海仁远实业有限公司","上海浦东新区浦电路370号","周隆云","13818976730","2013/6/7 12:55:24","0","TDGM130625673","无费用","15","","KH00001","10","","","","","","","0","上海市宝山区富锦路1598号","20",""
