"111","837","254","4","490","20","668","546","692","345","200","872","834","377","256","161","363","368","425","2015-4-25 00:00:00","425","2015-3-6 00:00:00","255","1","6","802","38","602","977","219","515","57","80","2015-2-1 00:00:00","777","923"
"139","937","518","1","543","13","384","982","262","173","443","335","668","380","533","110","42","510","807","2015-4-18 00:00:00","506","2015-5-21 00:00:00","282","4","16","898","54","553","689","484","225","23","99","2015-3-9 00:00:00","865","477"
"428","333","440","4","938","7","766","822","920","700","546","394","200","622","273","516","801","479","19","2015-5-20 00:00:00","227","2015-3-28 00:00:00","472","9","14","418","46","435","800","724","756","51","79","2015-6-17 00:00:00","753","154"
"788","203","67","11","967","19","459","333","205","451","982","291","972","19","476","38","682","40","467","2015-8-3 00:00:00","909","2015-4-5 00:00:00","285","9","4","893","35","959","353","88","79","75","19","2015-3-1 00:00:00","520","927"
"674","801","937","10","800","3","813","617","354","122","987","226","669","870","903","687","911","981","669","2015-1-27 00:00:00","527","2015-1-15 00:00:00","303","5","2","960","40","165","213","330","197","95","79","2015-7-25 00:00:00","817","352"
"478","973","639","14","645","11","945","261","255","824","631","932","536","365","886","224","512","647","687","2015-4-21 00:00:00","577","2015-5-25 00:00:00","320","9","2","491","88","805","87","860","825","80","49","2015-3-15 00:00:00","907","479"
"251","777","895","7","411","3","315","735","462","560","600","525","638","671","16","958","241","895","182","2015-3-7 00:00:00","935","2015-1-22 00:00:00","846","2","13","117","87","784","478","609","569","21","15","2015-4-6 00:00:00","320","631"
"139","648","513","5","837","3","209","578","790","689","860","974","464","808","163","965","444","789","624","2015-5-25 00:00:00","70","2015-4-24 00:00:00","875","9","4","471","23","952","236","480","353","80","22","2015-8-3 00:00:00","296","630"
"52","822","802","18","736","10","426","39","680","717","586","177","68","177","748","869","131","478","448","2015-4-20 00:00:00","492","2015-1-21 00:00:00","813","5","9","796","93","86","19","127","261","95","18","2015-2-22 00:00:00","878","378"
"307","653","1000","4","125","14","183","356","638","22","454","74","234","245","914","556","939","473","572","2015-4-2 00:00:00","264","2015-6-21 00:00:00","606","9","6","961","96","869","530","300","563","97","43","2015-2-24 00:00:00","191","477"
"123","584","649","18","649","9","654","312","378","444","772","558","641","641","685","993","445","927","850","2015-8-7 00:00:00","134","2015-1-26 00:00:00","269","9","18","268","52","576","215","80","183","80","63","2015-3-30 00:00:00","794","487"
"264","503","996","18","126","7","367","695","122","418","155","856","130","786","587","864","147","935","573","2015-2-28 00:00:00","117","2015-1-26 00:00:00","110","2","13","351","37","785","723","370","866","93","54","2015-6-15 00:00:00","915","903"
"773","445","659","18","768","19","891","153","884","461","730","719","294","822","381","609","786","707","802","2015-6-4 00:00:00","17","2015-4-25 00:00:00","365","9","4","859","12","304","485","313","649","55","11","2015-4-21 00:00:00","149","930"
"384","932","647","13","991","5","606","156","46","233","34","956","833","25","381","603","386","661","287","2015-8-11 00:00:00","186","2015-2-15 00:00:00","233","1","14","56","48","33","749","210","159","17","19","2015-7-27 00:00:00","878","845"
"247","959","934","12","798","9","390","156","622","312","440","875","900","45","163","476","155","756","742","2015-5-20 00:00:00","635","2015-4-11 00:00:00","827","9","16","237","57","734","464","515","911","24","93","2015-3-28 00:00:00","499","925"
"788","420","480","14","713","14","336","715","124","912","96","109","659","919","753","532","429","806","392","2015-4-24 00:00:00","548","2015-4-8 00:00:00","542","3","3","182","51","873","444","345","501","12","45","2015-7-30 00:00:00","379","682"
"679","697","83","12","751","4","869","797","839","220","437","442","105","308","520","146","649","813","807","2015-6-11 00:00:00","483","2015-2-19 00:00:00","752","9","13","503","69","982","532","899","246","73","22","2015-4-12 00:00:00","681","325"
"211","636","103","3","431","3","968","22","537","911","975","115","164","223","175","797","795","993","304","2015-1-29 00:00:00","663","2015-2-10 00:00:00","57","7","3","252","60","440","856","150","754","52","31","2015-1-29 00:00:00","778","320"
"490","712","983","11","518","9","908","378","883","656","801","150","505","676","232","402","588","882","996","2015-5-29 00:00:00","747","2015-7-6 00:00:00","300","7","5","743","93","976","436","893","881","44","90","2015-1-21 00:00:00","985","766"
"737","277","290","11","420","9","907","442","529","480","932","277","512","811","932","13","368","790","405","2015-3-4 00:00:00","914","2015-8-8 00:00:00","630","9","11","977","84","696","240","85","987","90","36","2015-7-7 00:00:00","404","803"
"928","602","994","8","246","4","425","960","787","322","449","306","147","601","202","508","604","45","304","2015-2-18 00:00:00","955","2015-7-18 00:00:00","750","9","1","321","51","956","796","116","21","58","79","2015-5-30 00:00:00","152","655"
"357","306","512","20","301","16","689","298","43","770","272","645","533","394","918","495","153","60","710","2015-7-5 00:00:00","237","2015-7-8 00:00:00","481","3","4","307","10","911","276","767","194","83","94","2015-8-11 00:00:00","573","367"
"330","335","380","10","497","17","133","608","777","664","258","635","699","314","485","267","967","755","575","2015-7-3 00:00:00","477","2015-2-12 00:00:00","590","8","8","259","12","820","925","655","266","82","28","2015-6-14 00:00:00","707","458"
"478","424","622","16","182","17","124","592","621","550","806","821","558","323","672","999","474","689","319","2015-3-21 00:00:00","464","2015-5-4 00:00:00","546","8","12","724","82","28","949","454","757","68","68","2015-6-5 00:00:00","765","761"
"253","553","998","19","906","1","573","693","424","657","52","534","699","490","44","457","738","38","302","2015-2-9 00:00:00","307","2015-8-11 00:00:00","842","9","12","198","51","368","625","179","502","41","26","2015-3-22 00:00:00","302","185"
"615","542","270","19","54","6","641","256","542","138","599","372","413","576","829","868","121","713","100","2015-2-26 00:00:00","624","2015-1-16 00:00:00","248","9","16","734","88","721","327","285","146","93","85","2015-6-8 00:00:00","615","406"
"92","961","670","16","660","6","684","740","991","884","596","442","744","788","844","379","89","490","369","2015-6-3 00:00:00","605","2015-4-26 00:00:00","511","9","12","905","99","712","249","362","126","89","76","2015-3-27 00:00:00","275","174"
"759","12","479","12","939","3","789","665","899","238","770","614","1000","343","717","700","685","72","164","2015-7-27 00:00:00","241","2015-3-20 00:00:00","47","9","20","193","15","337","316","961","18","54","74","2015-7-22 00:00:00","651","533"
"55","402","252","11","646","19","496","969","342","533","132","782","957","508","111","705","362","382","506","2015-7-29 00:00:00","207","2015-5-6 00:00:00","434","9","13","179","82","789","168","90","64","67","96","2015-5-28 00:00:00","55","736"
